platform,external_id,subniche_id,search_keyword,rank_in_search,title,author_name,story_url,bsr_overall,rating_avg,review_count,review_velocity_30d,ku_enrolled,series_total_books,chapter_count,episodes_count,view_count,follower_count,status,tags,price_usd,scraped_at
royalroad,158659,1,xianxia,11,The Human Beast [Cultivation| Xianxia| Antihero],The_BestX,https://www.royalroad.com/fiction/158659,,4.87,86,,,,16,,7961,172,ongoing,"[""Progression"", ""Anti-Hero Lead"", ""War and Military"", ""Cultivation"", ""Grimdark"", ""Action"", ""Adventure"", ""Psychological""]",,2026-06-23T02:50:06.786157+00:00
royalroad,40920,1,xianxia,12,The Path of Ascension,C_Mantis,https://www.royalroad.com/fiction/40920,,4.61,6118,,,,201,,8369321,20241,stubbed,"[""LitRPG"", ""Progression"", ""Cultivation"", ""Male Lead"", ""Strong Lead"", ""Action"", ""Adventure"", ""Fantasy""]",,2026-06-23T02:50:07.346557+00:00
royalroad,147117,1,xianxia,13,Leaving A Legacy (A Xianxia story),212perseus,https://www.royalroad.com/fiction/147117,,4.64,699,,,,80,,948872,5470,ongoing,"[""Wuxia"", ""Comedy"", ""Male Lead"", ""Slice of Life"", ""Adventure"", ""Fantasy"", ""Crafting"", ""Cultivation""]",,2026-06-23T02:50:07.626013+00:00
royalroad,76773,1,xianxia,14,This Venerable Demon is Grossly Unqualified,Turniper,https://www.royalroad.com/fiction/76773,,4.64,666,,,,52,,829182,3336,,"[""Portal Fantasy / Isekai"", ""Wuxia"", ""Multiple Lead Characters"", ""Strong Lead"", ""Drama"", ""Action"", ""Adventure"", ""Fantasy""]",,2026-06-23T02:50:08.045593+00:00
royalroad,134237,1,xianxia,15,Ten Thousand Tragedies [Xianxia Timeloop] (Book 2 Complete),NMR-3,https://www.royalroad.com/fiction/134237,,4.65,443,,,,131,,1051545,3278,ongoing,"[""Time Loop"", ""Progression"", ""Wuxia"", ""Male Lead"", ""Action"", ""Adventure"", ""Fantasy"", ""Mystery""]",,2026-06-23T02:50:08.428059+00:00
royalroad,81642,1,xianxia,16,Cultivation Nerd (xianxia),HolyMouse,https://www.royalroad.com/fiction/81642,,4.55,3664,,,,330,,11476859,17023,ongoing,"[""Portal Fantasy / Isekai"", ""Cultivation"", ""Comedy"", ""Male Lead"", ""Adventure"", ""Fantasy"", ""Martial Arts"", ""Reincarnation""]",,2026-06-23T02:50:08.735961+00:00
royalroad,29729,1,xianxia,17,Jumpspark,chakfor,https://www.royalroad.com/fiction/29729,,4.61,797,,,,23,,281162,2200,,"[""Reincarnation"", ""Wuxia"", ""Male Lead"", ""Action"", ""Adventure"", ""Fantasy"", ""Cultivation"", ""High Fantasy""]",,2026-06-23T02:50:09.062852+00:00
royalroad,70471,1,xianxia,18,Broken Path: The Song of Blood and Shadow [A Gritty Cultivation Epic],MaerBear,https://www.royalroad.com/fiction/70471,,4.61,620,,,,63,,692933,2598,,"[""Progression"", ""War and Military"", ""Wuxia"", ""Psychological"", ""Male Lead"", ""Action"", ""Adventure"", ""Fantasy""]",,2026-06-23T02:50:09.387748+00:00
royalroad,95704,1,xianxia,19,An Elder's Revolution - The Art of Sect Politics,Candis,https://www.royalroad.com/fiction/95704,,4.63,453,,,,134,,990923,2256,ongoing,"[""Ruling Class"", ""Wuxia"", ""Male Lead"", ""Strong Lead"", ""Drama"", ""Action"", ""Adventure"", ""Fantasy""]",,2026-06-23T02:50:09.608795+00:00
royalroad,78756,1,xianxia,20,Reforged from Ruin [Eldritch Xianxia Cultivation],Silv3rtongue,https://www.royalroad.com/fiction/78756,,4.54,1201,,,,401,,3819273,5384,stubbed,"[""Progression"", ""Cultivation"", ""Female Lead"", ""Action"", ""Adventure"", ""Fantasy"", ""Horror"", ""Cyberpunk""]",,2026-06-23T02:50:09.931691+00:00
